,nSessions,nTrials,pC,p1Min,p1Max,minOddChange,minRunLength,maxRunLength,applyMinForLastRunLength,sessionIndex,trialIndex,p1,didP1Change,outcome
0,150,1000,0.005,0,1,4,6,250,False,0,0,0.1408162732065249,True,0
1,150,1000,0.005,0,1,4,6,250,False,0,1,0.1408162732065249,False,0
2,150,1000,0.005,0,1,4,6,250,False,0,2,0.1408162732065249,False,0
3,150,1000,0.005,0,1,4,6,250,False,0,3,0.1408162732065249,False,1
4,150,1000,0.005,0,1,4,6,250,False,0,4,0.1408162732065249,False,0
5,150,1000,0.005,0,1,4,6,250,False,0,5,0.1408162732065249,False,0
6,150,1000,0.005,0,1,4,6,250,False,0,6,0.1408162732065249,False,0
7,150,1000,0.005,0,1,4,6,250,False,0,7,0.1408162732065249,False,0
8,150,1000,0.005,0,1,4,6,250,False,0,8,0.1408162732065249,False,0
9,150,1000,0.005,0,1,4,6,250,False,0,9,0.1408162732065249,False,0
10,150,1000,0.005,0,1,4,6,250,False,0,10,0.1408162732065249,False,1
11,150,1000,0.005,0,1,4,6,250,False,0,11,0.1408162732065249,False,0
12,150,1000,0.005,0,1,4,6,250,False,0,12,0.1408162732065249,False,0
13,150,1000,0.005,0,1,4,6,250,False,0,13,0.1408162732065249,False,0
14,150,1000,0.005,0,1,4,6,250,False,0,14,0.1408162732065249,False,1
15,150,1000,0.005,0,1,4,6,250,False,0,15,0.1408162732065249,False,0
16,150,1000,0.005,0,1,4,6,250,False,0,16,0.1408162732065249,False,1
17,150,1000,0.005,0,1,4,6,250,False,0,17,0.1408162732065249,False,0
18,150,1000,0.005,0,1,4,6,250,False,0,18,0.1408162732065249,False,0
19,150,1000,0.005,0,1,4,6,250,False,0,19,0.1408162732065249,False,0
20,150,1000,0.005,0,1,4,6,250,False,0,20,0.1408162732065249,False,0
21,150,1000,0.005,0,1,4,6,250,False,0,21,0.1408162732065249,False,0
22,150,1000,0.005,0,1,4,6,250,False,0,22,0.1408162732065249,False,0
23,150,1000,0.005,0,1,4,6,250,False,0,23,0.1408162732065249,False,1
24,150,1000,0.005,0,1,4,6,250,False,0,24,0.1408162732065249,False,1
25,150,1000,0.005,0,1,4,6,250,False,0,25,0.1408162732065249,False,0
26,150,1000,0.005,0,1,4,6,250,False,0,26,0.1408162732065249,False,0
27,150,1000,0.005,0,1,4,6,250,False,0,27,0.1408162732065249,False,0
28,150,1000,0.005,0,1,4,6,250,False,0,28,0.1408162732065249,False,0
29,150,1000,0.005,0,1,4,6,250,False,0,29,0.1408162732065249,False,0
30,150,1000,0.005,0,1,4,6,250,False,0,30,0.1408162732065249,False,0
31,150,1000,0.005,0,1,4,6,250,False,0,31,0.1408162732065249,False,0
32,150,1000,0.005,0,1,4,6,250,False,0,32,0.1408162732065249,False,0
33,150,1000,0.005,0,1,4,6,250,False,0,33,0.1408162732065249,False,0
34,150,1000,0.005,0,1,4,6,250,False,0,34,0.1408162732065249,False,1
35,150,1000,0.005,0,1,4,6,250,False,0,35,0.1408162732065249,False,1
36,150,1000,0.005,0,1,4,6,250,False,0,36,0.1408162732065249,False,0
37,150,1000,0.005,0,1,4,6,250,False,0,37,0.1408162732065249,False,1
38,150,1000,0.005,0,1,4,6,250,False,0,38,0.1408162732065249,False,0
39,150,1000,0.005,0,1,4,6,250,False,0,39,0.1408162732065249,False,0
40,150,1000,0.005,0,1,4,6,250,False,0,40,0.1408162732065249,False,0
41,150,1000,0.005,0,1,4,6,250,False,0,41,0.1408162732065249,False,0
42,150,1000,0.005,0,1,4,6,250,False,0,42,0.1408162732065249,False,0
43,150,1000,0.005,0,1,4,6,250,False,0,43,0.1408162732065249,False,0
44,150,1000,0.005,0,1,4,6,250,False,0,44,0.1408162732065249,False,0
45,150,1000,0.005,0,1,4,6,250,False,0,45,0.1408162732065249,False,1
46,150,1000,0.005,0,1,4,6,250,False,0,46,0.1408162732065249,False,0
47,150,1000,0.005,0,1,4,6,250,False,0,47,0.1408162732065249,False,0
48,150,1000,0.005,0,1,4,6,250,False,0,48,0.1408162732065249,False,0
49,150,1000,0.005,0,1,4,6,250,False,0,49,0.1408162732065249,False,0
50,150,1000,0.005,0,1,4,6,250,False,0,50,0.1408162732065249,False,0
51,150,1000,0.005,0,1,4,6,250,False,0,51,0.1408162732065249,False,0
52,150,1000,0.005,0,1,4,6,250,False,0,52,0.1408162732065249,False,0
53,150,1000,0.005,0,1,4,6,250,False,0,53,0.1408162732065249,False,0
54,150,1000,0.005,0,1,4,6,250,False,0,54,0.1408162732065249,False,0
55,150,1000,0.005,0,1,4,6,250,False,0,55,0.1408162732065249,False,0
56,150,1000,0.005,0,1,4,6,250,False,0,56,0.1408162732065249,False,1
57,150,1000,0.005,0,1,4,6,250,False,0,57,0.1408162732065249,False,0
58,150,1000,0.005,0,1,4,6,250,False,0,58,0.1408162732065249,False,0
59,150,1000,0.005,0,1,4,6,250,False,0,59,0.1408162732065249,False,0
60,150,1000,0.005,0,1,4,6,250,False,0,60,0.1408162732065249,False,0
61,150,1000,0.005,0,1,4,6,250,False,0,61,0.1408162732065249,False,0
62,150,1000,0.005,0,1,4,6,250,False,0,62,0.1408162732065249,False,1
63,150,1000,0.005,0,1,4,6,250,False,0,63,0.1408162732065249,False,0
64,150,1000,0.005,0,1,4,6,250,False,0,64,0.1408162732065249,False,0
65,150,1000,0.005,0,1,4,6,250,False,0,65,0.1408162732065249,False,0
66,150,1000,0.005,0,1,4,6,250,False,0,66,0.1408162732065249,False,0
67,150,1000,0.005,0,1,4,6,250,False,0,67,0.1408162732065249,False,0
68,150,1000,0.005,0,1,4,6,250,False,0,68,0.1408162732065249,False,0
69,150,1000,0.005,0,1,4,6,250,False,0,69,0.1408162732065249,False,0
70,150,1000,0.005,0,1,4,6,250,False,0,70,0.1408162732065249,False,0
71,150,1000,0.005,0,1,4,6,250,False,0,71,0.1408162732065249,False,0
72,150,1000,0.005,0,1,4,6,250,False,0,72,0.1408162732065249,False,0
73,150,1000,0.005,0,1,4,6,250,False,0,73,0.1408162732065249,False,0
74,150,1000,0.005,0,1,4,6,250,False,0,74,0.1408162732065249,False,0
75,150,1000,0.005,0,1,4,6,250,False,0,75,0.1408162732065249,False,0
76,150,1000,0.005,0,1,4,6,250,False,0,76,0.1408162732065249,False,0
77,150,1000,0.005,0,1,4,6,250,False,0,77,0.1408162732065249,False,0
